row_number,wals_code,iso_code,glottocode,name,genus,family,macroarea,latitude,longitude
202,bah,xir,xiri1243,Xiriana,Bahuanic,Arawakan,,2.66666666667,-62.5
203,bai,bca,cent2004,Bai,Bai,Sino-Tibetan,Eurasia,26.0,100.0
204,baj,bdl,indo1317,Bajau (Sama),Sama-Bajaw,Austronesian,Papunesia,-4.33333333333,123.0
205,bak,bkc,baka1272,Baka (in Cameroon),Ubangi,Niger-Congo,Africa,2.58333333333,13.5833333333
206,bal,ban,bali1278,Balinese,Malayo-Sumbawan,Austronesian,Papunesia,-8.33333333333,115.25
207,bam,bam,bamb1269,Bambara,Western Mande,Mande,Africa,12.5,-7.5
208,ban,bcw,bana1305,Bana,Biu-Mandara,Afro-Asiatic,Africa,10.4166666667,13.5833333333
209,bao,peh,bona1250,Bao'an,Mongolic,Altaic,Eurasia,35.75,102.833333333
210,baq,brg,baur1253,Baure,Bolivia-Parana,Arawakan,South America,-13.0833333333,-64.1666666667
211,bar,bfa,bari1284,Bari,Nilotic,Eastern Sudanic,Africa,5.0,31.6666666667
212,bas,bas,basa1284,Basaá,Bantoid,Niger-Congo,Africa,3.91666666667,10.5
213,bat,bya,bata1301,Batak,Greater Central Philippine,Austronesian,Papunesia,10.25,119.083333333
214,bau,bbd,bauu1244,Bau,Madang,Trans-New Guinea,Papunesia,-5.25,145.616666667
215,baw,bgr,bawm1236,Bawm,Kuki-Chin,Sino-Tibetan,Eurasia,22.5,92.25
216,bbf,bbo,nort2819,Bobo Madaré (Northern),Western Mande,Mande,Africa,12.4166666667,-4.33333333333
217,bbl,bvx,dibo1245,Babole,Bantoid,Niger-Congo,Africa,1.08333333333,17.25
218,bbm,ptu,bamb1270,Bambam,South Sulawesi,Austronesian,Papunesia,-3.08333333333,119.083333333
219,bbu,brm,bara1361,Barambu,Ubangi,Niger-Congo,Africa,3.5,27.0
220,bbw,gup,gunw1252,Bininj Gun-Wok,Gunwinygic,Gunwinyguan,Australia,-12.5,133.75
221,bca,bdy,band1339,Bandjalang (Casino),Southeastern Pama-Nyungan,Pama-Nyungan,Australia,-28.9166666667,153.0
222,bch,shy,tach1249,Berber (Chaouia),Berber,Afro-Asiatic,Africa,35.0,7.0
223,bco,blc,bell1243,Bella Coola,Bella Coola,Salishan,North America,52.5,-126.666666667
224,bdc,brc,berb1259,Berbice Dutch Creole,Creoles and Pidgins,other,South America,5.33333333333,-58.0
225,bdg,bfq,bada1257,Badaga,Southern Dravidian,Dravidian,Eurasia,11.6666666667,76.75
226,bdk,bdk,budu1248,Budukh,Lezgic,Nakh-Daghestanian,Eurasia,41.1666666667,48.4166666667
227,bdm,bia,badi1246,Badimaya,Western Pama-Nyungan,Pama-Nyungan,Australia,-27.6666666667,118.0
228,bdu,buu,budu1250,Budu,Bantoid,Niger-Congo,Africa,2.0,28.0
229,bdw,bdw,baha1258,Baham,West Bomberai,West Bomberai,Papunesia,-3.16666666667,132.666666667
230,beb,bef,bena1264,Benabena,Eastern Highlands,Trans-New Guinea,Papunesia,-6.16666666667,145.5
231,bec,ctg,chit1275,Bengali (Chittagong),Indic,Indo-European,Eurasia,22.3333333333,91.8333333333
232,bee,beq,beem1239,Beembe,Bantoid,Niger-Congo,Africa,-3.91666666667,14.0833333333
233,beg,dbj,idaa1241,Begak-Ida'an,North Borneo,Austronesian,Papunesia,5.25,118.833333333
234,bej,bej,beja1238,Beja,Beja,Afro-Asiatic,Africa,18.0,36.0
235,bel,byw,belh1239,Belhare,Mahakiranti,Sino-Tibetan,Eurasia,26.9666666667,87.3
236,bem,bem,bemb1257,Bemba,Bantoid,Niger-Congo,Africa,-10.0,28.25
237,ben,ben,beng1280,Bengali,Indic,Indo-European,Eurasia,24.0,90.0
238,beo,bue,beot1247,Beothuk,Beothuk,Beothuk,North America,48.0,-57.0
239,ber,wti,bert1248,Berta,Berta,Berta,Africa,10.3333333333,34.6666666667
240,bet,bev,dalo1238,Bété,Kru,Niger-Congo,Africa,6.25,-6.25
241,bez,kap,bezh1248,Bezhta,Avar-Andic-Tsezic,Nakh-Daghestanian,Eurasia,42.0833333333,46.1666666667
242,bfd,bif,biaf1240,Biafada,Northern Atlantic,Niger-Congo,Africa,11.4166666667,-15.1666666667
243,bfg,,,Berber (Figuig),Berber,Afro-Asiatic,,32.5,-1.5
244,bfi,ksf,bafi1243,Bafia,Bantoid,Niger-Congo,Africa,5.0,11.1666666667
245,bga,bng,beng1282,Benga,Bantoid,Niger-Congo,Africa,1.16666666667,9.41666666667
246,bgg,bgz,bang1368,Banggai,Celebic,Austronesian,Papunesia,-1.41666666667,123.166666667
247,bgi,bgq,bagr1243,Bagri,Indic,Indo-European,Eurasia,29.5833333333,74.3333333333
248,bgl,sab,bugl1243,Buglere,Guaymiic,Chibchan,North America,8.5,-81.25
249,bgm,dba,bang1363,Bangime,Bangime,Bangime,Africa,14.9166666667,-3.83333333333
250,bgn,,bugu1246,Bugun,Western Arunachal,Sino-Tibetan,Eurasia,27.5,92.5833333333
251,bgo,bot,bong1285,Bongo,Bongo-Bagirmi,Central Sudanic,Africa,7.5,28.5
252,bgr,fuu,furu1242,Bagiro,Bongo-Bagirmi,Central Sudanic,Africa,4.33333333333,20.5833333333
253,bgs,bsp,baga1272,Baga Sitemu,Mel,Niger-Congo,Africa,10.5,-14.5
254,bgv,kva,bagv1239,Bagvalal,Avar-Andic-Tsezic,Nakh-Daghestanian,Eurasia,42.5833333333,46.1666666667
255,bgz,bdg,bong1289,Banggi,North Borneo,Austronesian,Papunesia,7.25,117.166666667
256,bhi,bhb,bhil1251,Bhili,Indic,Indo-European,Eurasia,22.0,73.0
257,bhn,bjh,bahi1254,Bahinemo,Sepik Hill,Sepik,Papunesia,-4.58333333333,142.833333333
258,bho,bho,bhoj1244,Bhojpuri,Indic,Indo-European,Eurasia,26.0,84.0
259,bhu,unr,mund1320,Bhumij,Munda,Austro-Asiatic,Eurasia,21.3333333333,86.5
260,bia,bip,bera1259,Bira,Bantoid,Niger-Congo,Africa,1.0,28.75
261,bid,bid,bidi1241,Bidiya,East Chadic,Afro-Asiatic,Africa,11.9166666667,18.75
262,big,yul,yulu1243,Binga,Bongo-Bagirmi,Central Sudanic,Africa,8.0,25.0
263,bii,bzr,biri1256,Biri,Northern Pama-Nyungan,Pama-Nyungan,Australia,-20.5,146.5
264,bik,bhw,biak1248,Biak,South Halmahera - West New Guinea,Austronesian,Papunesia,-1.0,136.0
265,bil,blb,bilu1245,Bilua,Bilua,Solomons East Papuan,Papunesia,-7.75,156.666666667
266,bim,bhp,bima1247,Bima,Central Malayo-Polynesian,Austronesian,Papunesia,-8.5,118.5
267,bin,bhg,bina1277,Binandere,Binanderean,Trans-New Guinea,Papunesia,-8.25,148.0
268,bio,bio,naii1241,Nai,Kwomtari,Kwomtari-Baibai,Papunesia,-3.71666666667,141.266666667
269,biq,bpr,sara1326,Bilaan (Koronadal),Bilic,Austronesian,Papunesia,6.0,125.333333333
270,bir,bom,bero1242,Birom,Platoid,Niger-Congo,Africa,9.66666666667,8.83333333333
271,bis,bib,biss1248,Bisa,Eastern Mande,Mande,Africa,11.5,-0.5
272,bit,bth,biat1246,Biatah,Land Dayak,Austronesian,Papunesia,1.25,110.0
273,biu,bzi,bisu1246,Bisu,Burmese-Lolo,Sino-Tibetan,Eurasia,19.75,100.0
274,bjs,ssb,sout2918,Sama (Southern),Sama-Bajaw,Austronesian,Papunesia,4.5,118.5
